Price,Location,Area,Amenities,BHK
₹6.50 Cr,"Andheri East., Andheri East, Mumbai - Western Mumbai, Maharashtra",2300sqft,"Lift,Power Back Up,Park,",4 BHK
₹4.0 Cr,"Malad West, Mumbai, Kanchpada, Mumbai - North Mumbai, Maharashtra",1226sqft,,4 BHK
₹12.0 Cr,"Andheri West, Mumbai, Lokhandwala Complex, Mumbai - Western Mumbai, Maharashtra",3050sqft,,4 BHK
₹5.0 Cr,"Aarti Building Arya Nagar Tulsiwadi Tardeo Mumbai Maharashtra 400034, Tardeo, Mumbai - South Mumbai, Maharashtra",750sqft,,2 BHK
₹4.06 Cr,"Malad West, Mumbai, Kanchpada, Mumbai - North Mumbai, Maharashtra",1320sqft,,4 BHK
₹9.25 Cr,"Lake Superior, Lake Homes, Powai, Mumbai, Powai, Mumbai - Central Mumbai, Maharashtra",2500sqft,,4 BHK
₹72.0 Lac,"Vikhroli East, Mumbai, Kannamwar Nagar - Vikhroli East, Mumbai - Central Line, Maharashtra",588sqft,,1 BHK
₹39.0 Cr,"Byculla, Mumbai, Bandra Kurla Complex, Mumbai - Western Mumbai, Maharashtra",7000sqft,,5 BHK
₹63.1 Lac,"Mira Road East, Mumbai, Maharashtra",425sqft,,1 BHK
₹1.08 Cr,"Bhandup West, Mumbai, Bhandup West, Mumbai - Central Mumbai, Maharashtra",475sqft,,1 BHK
₹65.0 Cr,"Juhu Tara Road, Juhu, Juhu Tara Road, Mumbai - Western Mumbai, Maharashtra",6000sqft,,5 BHK
₹8.79 Cr,"Dadar East, Mumbai, Dadar East, Mumbai - South Mumbai, Maharashtra",2100sqft,,4 BHK
₹10.50 Cr,"Andheri West, Mumbai, Andheri West, Mumbai - Western Mumbai, Maharashtra",2100sqft,,6 BHK
₹12.0 Cr,"off Old Cadell Road, Prabhadevi, Prabhadevi, Mumbai - South Mumbai, Maharashtra",1761sqft,,3 BHK
₹3.40 Cr,"Mumbai-Western Suburbs, Mumbai, Maharashtra",960sqft,,3 BHK
₹2.17 Cr,"Near thakur cine mall, Thakur Village, Mumbai - North Mumbai, Maharashtra",800sqft,,3 BHK
₹8.50 Cr,"Ajmera Aeon Bhakti Park Wadala Mumbai Maharashtra 400037, Bhakti Park, Mumbai - Harbour Line, Maharashtra",2100sqft,,4 BHK
