Price,Area,Location,No. of Bedrooms,Location_Encoded
6000000,745,Ulwe,1,7761683.373041518
4300000,650,Kharghar,1,10456264.530956848
10000000,1100,Ulwe,2,7761683.373041518
8600000,1100,Kharghar,2,10456264.530956848
17000000,2250,Kamothe,3,8238430.088778924
9200000,1150,Sector 17 Ulwe,2,10512629.969050447
62000000,1450,Worli,3,60446500.50524536
7000000,600,Airoli,1,10976898.734651402
23000000,1360,Thakur Village,3,16269952.508810613
17500000,1050,Chembur,2,17425073.26802795
4200000,1380,Boisar,3,3162324.503508562
34000000,2365,Kandivali East,4,19942455.57008331
2400000,550,Nala Sopara,1,2914107.71666728
4500000,800,Vasai east,2,10870583.10784262
4500000,600,Kharghar,1,10456264.530956848
51500000,3465,Sanpada,4,17156274.40966931
14000000,810,Ghatkopar East,2,17155597.004407123
39600000,1485,Chembur East,3,17750900.345802285
2650000,630,Nala Sopara,1,2914107.71666728
13000000,910,Hiranandani Estates,2,15183535.074294586
12000000,1046,Thane West,2,12008191.358851675
7053000,1085,Navi Basti,2,13925638.866347099
7100000,890,Mira Road East,2,8224102.533333333
2950000,630,Virar,1,3947315.4002871136
11500000,1450,Sector 10 Kamothe,3,14678595.541103713
8500000,594,Majiwada,1,13399059.655176558
14000000,780,Goregaon West,2,23283708.065473303
21000000,1250,Magathane,2,18671638.447242483
11000000,1250,Ulwe,2,7761683.373041518
7800000,985,Beturkar Pada,2,13786376.115998913
18000000,987,Goregaon,2,21271125.200406432
21500000,1250,Seawoods,1,21395177.98511841
2330000,590,Nala Sopara,1,2914107.71666728
2580000,605,Nala Sopara,1,2914107.71666728
12000000,720,Malad East,1,20889612.17056266
9200000,400,Chembur Shell Colony,1,14379346.050068818
55000000,1500,Juhu,3,58276960.52177489
8800000,600,Borivali West,1,15910647.594565125
10200000,644,Ghatkopar West,1,19041613.901327305
40000000,1200,Ville Parle East,3,32285017.2842167
9000000,1412,Mira Road East,2,8224102.533333333
17000000,1450,Kharghar,3,10456264.530956848
5000000,570,Kharghar,1,10456264.530956848
18000000,1342,Goregaon,2,21271125.200406432
26000000,955,Wadala East,2,16180337.187283933
30000000,1212,Vashi,3,17651058.314693686
31500000,1470,Andheri West,3,41255880.9696951
92500000,2670,Parel,5,39967083.21797723
19200000,1150,Borivali West,2,15910647.594565125
2394000,640,Titwala,1,7697674.950367176
12000000,936,Thane West,2,12008191.358851675
17000000,700,Ville Parle East,1,32285017.2842167
11500000,1170,Thane West,2,12008191.358851675
14500000,1000,Kandivali East,2,19942455.57008331
3250000,600,Kalyan West,1,5402967.523396111
18800000,772,Ville Parle East,2,32285017.2842167
4500000,650,Vasai,2,6563217.704137598
41500000,1820,Goregaon East,3,28813531.79700447
5200000,695,Kalyan West,1,5402967.523396111
16500000,1560,Kharghar,3,10456264.530956848
14500000,995,Kandivali East,2,19942455.57008331
4000000,650,Ulwe,1,7761683.373041518
12900000,1125,Malad West,2,14215638.559645081
4500000,1065,Thane,2,10112006.843626909
8200000,1150,Sector 17 Ulwe,2,10512629.969050447
3900000,750,Naigaon East,1,3259898.431572335
11100000,1245,Sector 17 Ulwe,2,10512629.969050447
10000000,1129,Kamothe,2,8238430.088778924
4850000,600,Kharghar,1,10456264.530956848
2100000,400,Dombivali East,1,8009889.367747745
2345000,525,Nala Sopara,1,2914107.71666728
8500000,1150,Mira Road East,2,8224102.533333333
23700000,1001,Mulund West,3,20572069.98986891
23000000,1100,Dattapada,3,16948435.806464788
17500000,1050,Andheri East,1,17894966.774751816
6400000,1180,Mira Road and Beyond,2,10442006.843626909
25000000,1080,Malad East,3,20889612.17056266
6050000,1246,Panvel,2,7890890.089134022
3300000,625,Karanjade,1,7574875.71021936
8000000,1350,Ulwe,2,7761683.373041518
4199000,625,Thane West,1,12008191.358851675
7600000,880,Thane West,2,12008191.358851675
18000000,780,Kandivali West,2,14320931.905521896
3400000,380,Mira Road East,1,8224102.533333333
16000000,970,Malad West,2,14215638.559645081
3536000,1105,Boisar,3,3162324.503508562
6200000,655,Mira Road East,1,8224102.533333333
20000000,1070,Powai,2,23041090.88927851
4400000,610,Thakur complex,1,14750183.585908774
37000000,1150,matunga east,3,21694307.789987743
7600000,1098,Kamothe,2,8238430.088778924
3900000,670,Ulwe,1,7761683.373041518
6000000,700,Kharghar,1,10456264.530956848
30400000,1690,Mulund West,3,20572069.98986891
4500000,725,Kalyan West,1,5402967.523396111
8000000,990,Mira Road East,2,8224102.533333333
2350000,540,Naigaon East,1,3259898.431572335
4300000,640,Kharghar,1,10456264.530956848
12900000,1235,Mira Road East,2,8224102.533333333
9000000,650,Bhandup West,1,20727537.005374394
18500000,1050,Borivali West,2,15910647.594565125
6600000,640,Airoli,1,10976898.734651402
8500000,1048,Mira Road East,2,8224102.533333333
9499000,580,Borivali West,1,15910647.594565125
5000000,650,Sector-18 Ulwe,1,13298362.023514869
2948000,353,Vasai,1,6563217.704137598
10000000,650,Kandivali West,1,14320931.905521896
5700000,900,Mira Road and Beyond,2,10442006.843626909
35000000,873,Dahisar,2,16854206.714503538
16800000,830,Goregaon West,1,23283708.065473303
16900000,888,Kandivali West,2,14320931.905521896
4800000,485,Kalyan West,1,5402967.523396111
6500000,940,Mira Road and Beyond,2,10442006.843626909
8500000,525,Borivali West,1,15910647.594565125
26500000,1500,Kandivali West,3,14320931.905521896
86500000,1376,Napeansea Road,3,28524676.004926965
6400000,1550,Taloja,3,4112323.635028059
3499000,420,Ulwe,1,7761683.373041518
14600000,1084,Seawoods,2,21395177.98511841
6000000,610,Sector9 Kamothe,1,14356154.282749137
6500000,385,Mulund East,1,14043873.30540845
9800000,610,Borivali West,1,15910647.594565125
3300000,590,Koproli,1,6596802.850961264
20000000,1000,Kandivali West,2,14320931.905521896
19800000,926,Govandi,2,14965460.972803228
2150000,500,Nalasopara West,1,7007684.735536651
3900000,773,Nala Sopara,2,2914107.71666728
