Price,Area,Location,No. of Bedrooms,Location_Encoded
4850000,720,Kharghar,1,10456264.530956848
4500000,600,Kharghar,1,10456264.530956848
6700000,650,Kharghar,1,10456264.530956848
4500000,650,Kharghar,1,10456264.530956848
5000000,665,Kharghar,1,10456264.530956848
17000000,2000,Kharghar,4,10456264.530956848
12500000,1550,Kharghar,3,10456264.530956848
10500000,1370,Sector-13 Kharghar,3,14548487.066740714
10500000,1356,Kharghar,3,10456264.530956848
15000000,1680,Kharghar,3,10456264.530956848
8700000,980,Kharghar,2,10456264.530956848
9000000,1000,Kharghar,2,10456264.530956848
11000000,1060,Kharghar,2,10456264.530956848
10500000,1095,Kharghar,2,10456264.530956848
9700000,1155,Kharghar,2,10456264.530956848
10500000,1150,Kharghar,2,10456264.530956848
8000000,1250,Sector 18 Kharghar,2,14481806.490274925
8500000,990,Kharghar,2,10456264.530956848
9300000,1078,Kharghar,2,10456264.530956848
9900000,1150,Kharghar,2,10456264.530956848
8000000,1150,Kharghar,2,10456264.530956848
9000000,1060,Kharghar,2,10456264.530956848
4200000,680,Kharghar,1,10456264.530956848
28000000,2470,Kharghar,4,10456264.530956848
40000000,2100,Kharghar,4,10456264.530956848
16000000,2200,Kharghar,4,10456264.530956848
17000000,2235,Kharghar,4,10456264.530956848
9500000,1025,Kharghar,2,10456264.530956848
9500000,950,Kharghar,2,10456264.530956848
7500000,895,Kharghar,2,10456264.530956848
8500000,1114,Kharghar,2,10456264.530956848
13000000,1197,Kharghar,2,10456264.530956848
13700000,1380,Kharghar,2,10456264.530956848
8000000,1050,Kharghar,2,10456264.530956848
10500000,1240,Kharghar,2,10456264.530956848
7700000,1110,Kharghar,2,10456264.530956848
7500000,1050,Kharghar,2,10456264.530956848
9000000,1160,Kharghar,2,10456264.530956848
6000000,555,Kharghar,1,10456264.530956848
6200000,650,Kharghar,1,10456264.530956848
5000000,600,Kharghar,1,10456264.530956848
6500000,650,Kharghar,1,10456264.530956848
5200000,700,Kharghar,1,10456264.530956848
4200000,646,Kharghar,1,10456264.530956848
5500000,560,Kharghar,1,10456264.530956848
5500000,670,Kharghar,1,10456264.530956848
